date,current_account_mn_usd,goods_services_mn_usd,goods_mn_usd,services_net_mn_usd,primary_income_mn_usd,secondary_income_mn_usd
2005-12-01,88914.95,100861.99,126613.45,-25751.46,,
2006-03-31,32299.28,34680.61,38947.47,-4266.86,,
2006-06-30,29509.17,31796.72,39440.95,-7644.22,,
2006-09-30,26301.35,28015.17,39037.25,-11022.08,,
2006-12-31,15330.02,17716.06,30465.72,-12749.66,,
2007-03-31,20030.42,21180.7,28297.47,-7116.77,,
2007-06-30,20772.09,21965.23,33786.1,-11820.87,,
2007-09-30,22570.43,23709.01,38406.12,-14697.11,,
2007-12-31,38739.29,39823.52,51043.63,-11220.1,,
2008-03-31,39369.98,41115.15,57695.85,-16580.7,,
2008-06-30,55827.62,56661.82,73341.77,-16679.96,,
2008-09-30,46034.8,48085.9,64614.12,-16528.22,,
2008-12-31,3434.48,5229.63,17526.52,-12296.9,,
2009-03-31,-4520.88,-1982.98,15419.47,-17402.45,,
2009-06-30,673.96,3456.85,24134.69,-20677.84,,
2009-09-30,9974.9,12337.32,30300.19,-17962.86,,
2009-12-31,19121.33,23092.58,36330.72,-13238.14,,
2010-03-31,18185.29,21424.59,36123.87,-14699.28,,
2010-06-30,13112.37,15888.04,36526.96,-20638.92,,
2010-09-30,16328.07,18947.93,36314.03,-17366.1,,
2010-12-31,23906.09,28484.4,45815.31,-17330.91,,
2011-03-31,37491.15,41019.21,55104.51,-14085.29,,
2011-06-30,39583.47,42532.57,61145.39,-18612.82,,
2011-09-30,39067.66,41977.19,63122.27,-21145.08,,
2011-12-31,46410.64,50281.06,66681.66,-16400.6,,
2012-03-31,49030.32,52606.29,70329.33,-17723.04,,
2012-06-30,41339.74,43886.82,61936.98,-18050.16,,
2012-09-30,39621.78,41387.55,56803.63,-15416.08,,
2012-12-31,41810.7,44471.2,59056.43,-14585.22,,
2013-03-31,32906.18,36778.71,52659.23,-15880.52,,
2013-06-30,29297.27,32582.34,49377.07,-16794.73,,
2013-09-30,39252.76,42714.95,60196.24,-17481.29,,
2013-12-31,39603.9,43666.09,62006.33,-18340.24,,
2014-03-31,28128.98,33008.77,57478.37,-24469.61,,
2014-06-30,33262.31,36011.68,52747.73,-16736.05,,
2014-09-30,16751.21,20210.31,46934.38,-26724.07,,
2014-12-31,-491.57,4126.58,28572.75,-24446.16,,
2015-03-31,-11650.27,-3389.72,12016.4,-15406.12,,
2015-06-30,-7666.12,-2826.89,18049.27,-20876.16,,
2015-09-30,-13719.48,-10701.37,11486.59,-22187.96,,
2015-12-31,-22008.63,-14783.07,4459.89,-19242.96,,
2016-03-31,-19882.71,-11640.21,2966.4,-14606.61,,
2016-06-30,-7515.25,-1234.04,13334.83,-14568.87,,
2016-09-30,4114.16,8445.6,18564.64,-10119.04,,
2016-12-31,-3685.54,4426.01,22299.89,-17873.88,,
2017-03-31,4134.95,11104.37,24875.56,-13771.19,,
2017-06-30,-6083.79,670.83,19965.36,-19294.53,,
2017-09-30,5153.33,10888.59,22400.91,-11512.31,,
2017-12-31,5879.41,12789.03,32564.24,-19775.22,,
2018-03-31,9112.39,17859.41,34661.47,-16802.06,,
2018-06-30,19780.27,27305.75,42817.12,-15511.37,,
2018-09-30,25432.8,33336.28,45951.52,-12615.24,,
2018-12-31,15703.47,24419.25,46690.03,-22270.78,,
2019-03-31,12192.07,19140.93,34487.9,-15346.97,,
2019-06-30,10152.44,15995.08,30712.87,-14717.79,,
2019-09-30,5982.89,14391.45,27724.64,-13333.19,,
2019-12-31,4071.22,11305.21,29942.24,-18637.02,,
2020-03-31,-5088.66,5441.79,19190.21,-13748.43,,
2020-06-30,-23428.74,-14771.66,1876.69,-16648.35,,
2020-09-30,-3235.3,1074.81,13244.45,-12169.64,,
2020-12-31,-2935.06,-221.17,15012.85,-15234.03,,
2021-03-31,-389.55,7219.23,21920.48,-14701.25,,
2021-06-30,6136.52,14449.24,28040.6,-13591.37,,
2021-09-30,16415.11,24198.97,38079.54,-13880.57,,
2021-12-31,22743.2,31490.26,49951.44,-18461.18,,
2022-03-31,40124.7,48599.91,59617.12,-11017.22,,
2022-06-30,40333.96,50093.18,71291.94,-21198.76,,
2022-09-30,46341.1,53004.47,61581.92,-8577.45,,
2022-12-31,18536.96,30796.24,44699.95,-13903.71,,
2023-03-31,12584.22,22141.48,36278.14,-14136.66,,
2023-06-30,9737.11,21083.67,32204.51,-11120.84,,
2023-09-30,3664.62,13606.73,32148.55,-18541.82,,
2023-12-31,-37.84,12803.51,29658.57,-16855.07,,
2024-01-01,-16254.07,29736.97,92024.54,-62287.56,,
2024-03-31,5803.83,15442.27,28096.87,-12654.6,,
2024-06-30,337.95,13622.73,27276.0,-13653.27,,
2024-09-30,-9708.81,1778.05,20097.96,-18319.9,,
2024-12-31,-12687.05,-1106.07,16553.72,-17659.79,,
2025-03-31,-2838.3,10437.27,21428.77,-10991.5,,
2025-06-30,-13440.86,-1486.07,15821.52,-17307.59,,
2025-09-30,-8229.49,6851.4,23556.06,-16704.66,,
