date,demand_deposits_mn_sar,demand_business_mn_sar,demand_govt_mn_sar,time_savings_mn_sar,time_business_mn_sar,time_govt_mn_sar
1993-12-31,78879.959,76796.959,2083.0,47892.33899999999,30574.771999999997,17317.567
1994-12-31,80679.357,77318.837,3360.52,51417.119999999995,31996.662,19420.458
1995-12-31,81383.933,78781.585,2602.348,61222.523,38022.296,23200.227
1996-12-31,89890.22099999999,87696.2,2194.021,71080.751,44238.746,26842.005
1997-12-31,95360.545,92253.951,3106.594,77165.538,46286.611000000004,30878.927
1998-12-31,95253.268,92648.315,2604.953,83436.098,45812.4,37623.698
1999-12-31,101604.895,98974.74,2630.155,85341.41500000001,49799.655,35541.76
2000-12-31,114480.931,110822.978,3657.953,90832.006,53779.024,37052.982
2001-12-31,130192.471,126828.797,3363.674,91684.591,49152.743,42531.848
2002-12-31,150009.862,147029.341,2980.521,108028.195,64257.72,43770.475
2003-12-31,167577.202,163830.522,3746.68,113381.881,66821.26,46560.621
2004-12-31,211170.238,199284.54,11885.698,136672.88,84409.093,52263.787
2005-12-31,219251.036,208041.205,11209.831,165266.397,105474.42899999999,59791.968
2006-12-31,243417.69100000002,229289.303,14128.388,226026.745,145950.809,80075.936
2007-12-31,311365.062,284716.883,26648.179,283059.125,189705.05599999998,93354.069
2008-12-31,342487.68200000003,327208.764,15278.918,367623.877,242853.766,124770.111
2009-12-31,433162.212,413627.502,19534.71,323377.029,202388.03,120988.999
2010-12-31,530072.227,492431.446,37640.781,298282.546,182949.02599999998,115333.52
2011-12-31,642093.67,612684.091,29409.579,316400.646,193477.619,122923.027
2012-12-31,756555.345,697806.738,58748.607,329679.868,203601.633,126078.235
2013-12-31,860270.196,804570.879,55699.317,350266.485,199383.631,150882.854
2014-12-31,991384.41,932255.7,59128.71,403419.45,172993.642,230425.808
2015-12-31,980150.664,928048.656,52102.008,439377.329,221750.062,217627.267
2016-12-31,976086.1988083251,914430.702674325,61655.496134,496019.30788064003,274643.98286095,221375.32501969
2017-12-31,1002467.74800831,895303.89642767,107163.85158064001,454152.05919544,253390.90731838,200761.15187706
2018-12-31,1040664.95184748,928548.7788474801,112116.173,443022.41314937995,274525.14014937996,168497.273
2019-12-31,1099151.08319698,1005893.28319698,93257.8,501666.91848965,261730.74148965,239936.177
2020-12-31,1282591.31982632,1137481.67982632,145109.64,473966.98055585,262326.18655584997,211640.794
2021-12-31,1360108.1662613498,1192849.5402613499,167258.626,495334.36669822,259387.49469822002,235946.872
2022-12-31,1328160.3574,1155575.884,172584.47340000002,654764.2713499999,313679.63844999997,341084.63289999997
