date,due_from_banks_abroad_mn_sar,due_from_branches_abroad_mn_sar,investments_abroad_mn_sar,other_assets_mn_sar,total_foreign_assets_mn_sar,due_to_foreign_banks_mn_sar,due_to_branches_abroad_mn_sar,due_to_others_mn_sar
1993-12-31,48510.28599999999,9128.612000000001,42916.941,11030.375,111586.21399999999,16645.961,17332.508,3313.624
1994-12-31,38631.763999999996,7248.873,42706.528000000006,9560.183000000003,98147.34800000001,16261.58,16044.893,6843.965000000001
1995-12-31,48914.657,7536.656999999999,33170.386,8349.122,97970.822,15588.144999999999,17814.112999999998,6275.5960000000005
1996-12-31,54612.223,7353.027,34149.135,10056.954999999998,106171.34000000001,14340.683,17404.211,6908.388999999999
1997-12-31,50165.177,6502.833,32989.79,9856.824,99514.62400000001,15585.813,21486.672,8971.414999999999
1998-12-31,42308.319,6760.705,24378.042,12496.599,85943.66500000001,14921.461999999998,23224.75,4958.763
1999-12-31,38514.434,10129.706,29015.967,13827.085,91487.19200000001,23697.924,21741.408,5713.52
2000-12-31,42241.92800000001,7399.793000000001,38232.569,13329.995,101204.285,26865.107,28587.619,8991.037
2001-12-31,42310.898,8096.860999999999,31061.391000000003,17894.866,99364.016,26290.79,27763.299,5559.936
2002-12-31,30454.133000000005,13157.217,34979.171,16899.314,95489.835,27643.971999999998,9412.015,5942.879
2003-12-31,21572.845,10805.312000000002,34765.231,13938.528999999999,81081.917,25923.681,8760.492,5379.237
2004-12-31,25220.553,17084.155,38919.695999999996,11573.839,92798.24299999999,29976.720999999998,9674.257000000001,6096.691000000001
2005-12-31,26850.424,17333.028,38281.519,8964.869,91429.84,31567.962,18053.383,15418.381000000001
2006-12-31,51393.92600000001,17961.568,52334.16499999999,8106.1669999999995,129795.826,22158.214,8789.053,28251.272
2007-12-31,28859.015999999996,22546.894,81484.72700000001,14821.438,147712.075,64239.6,14417.788,26555.305000000004
2008-12-31,27231.436,41780.28,64885.792,20088.957000000002,153986.465,45354.524999999994,29446.734,37664.726
2009-12-31,41200.628000000004,39433.994,112336.879,17946.826,210918.327,41761.42799999999,25311.466999999997,32610.058999999997
2010-12-31,34627.337,28270.138000000003,113710.87299999999,16518.231,193126.579,53867.337,10235.866999999998,30602.541
2011-12-31,44142.577,38001.744,123413.988,15895.146,221453.455,53682.05,8023.295,19857.965
2012-12-31,36033.621999999996,51471.309,119644.078,14961.86,222110.869,51836.245,10914.24,25361.623
2013-12-31,26123.729,57159.547,126037.438,12204.459,221525.173,48796.873,11669.776,23355.398
2014-12-31,39877.178,44668.296,161230.507,11949.942,257725.923,57042.015,25222.789,22854.271
2015-12-31,85318.87700000001,47921.606,175188.119,14185.177,322613.779,49985.119999999995,24490.933,25510.518
2016-12-31,58232.58009965001,33369.3377539828,129204.57741559,13025.0127015,233831.5079707228,50931.9152138629,21712.2259150047,23456.941302910003
2017-12-31,53365.890436179994,70368.859579218,114488.36040207,23900.91157182,262124.02198928798,57717.12406931999,44121.89404034,17347.07130152
2018-12-31,66194.54915126,39941.79408805,98752.768,26943.04913024,231832.16036955002,60781.460105980004,32082.215335549998,18069.591
2019-12-31,47537.59501915,63226.789855619994,97611.725,35253.261663560006,243629.37153833002,102350.20176253999,38704.54064435,32100.09591828
2020-12-31,47754.577877735996,56850.521771399,106799.963,38659.143104122995,250064.205753258,94708.78071282999,43733.05991302,43624.181877368
2021-12-31,60240.587657619995,60523.835756140004,96433.897,38373.97213122,255572.29254497998,129510.71107179,51634.48609788,44581.544
2022-12-31,59663.903461960006,57462.5210971,117479.33940427001,52284.090196,286889.85415933,107845.62164199998,42325.849494999995,52358.343387999994
2023-12-31,45497.6172995525,72130.96949062,151460.29840380998,48492.091678070006,317580.97687205253,167189.53087434004,40258.863443680006,67255.05835388
2024-12-31,48440.52822843791,78922.51153751001,189266.34311480998,59979.84916622999,376609.2320469879,242539.22083196,71268.3187513875,97032.56688018999
2025-12-31,50086.374519071294,79401.20084758,214667.56498075,73865.1457399684,418020.28608736966,284679.91363952,90312.68289632,247816.52873750593
1993-01-31,55053.732,5401.049,36858.176999999996,10812.396,108125.35399999999,9653.406,21662.169,1549.441
1993-02-28,62872.174999999996,4996.771,37915.169,11454.9,117239.01499999998,13149.329,21668.254,3229.554
1993-03-31,61074.26799999999,4563.188,38414.32,11672.676,115724.45199999999,15107.354999999998,23318.826,3637.9329999999995
1993-04-30,58684.513999999996,4611.0689999999995,39772.249,11755.875999999998,114823.708,13656.483,28453.308000000005,4450.958
1993-05-31,59756.91,4234.879,41382.076,12318.823,117692.68800000001,15478.600000000002,27830.224000000002,3858.6859999999997
1993-06-30,61483.451000000015,4737.977,41427.474,13263.773999999998,120912.676,16963.177000000003,26853.859,3808.768
1993-07-31,55967.01000000001,4319.643,40789.304000000004,13863.573,114939.53000000001,16989.444000000003,25131.014000000003,3269.451
1993-08-31,59940.704,9782.298999999999,40884.264,9434.646,120041.913,19128.774,17039.605,3485.932
1993-09-30,53952.06,10192.29,41668.859,9900.823,115714.032,18102.636,17825.544,2724.829
1993-10-31,49743.609000000004,9634.389000000001,42799.538,11072.270999999999,113249.807,15912.215,16942.391,2763.519
1993-11-30,46834.253,9462.724,43923.818,10896.296,111117.091,15873.819000000001,16511.872,2999.0069999999996
1993-12-31,48510.28599999999,9128.612000000001,42916.941,11030.375,111586.21399999999,16645.961,17332.508,3313.624
1994-01-31,37888.146,4454.063999999999,45195.356,10446.498000000001,97984.064,15582.337000000001,13523.204,5219.514999999999
1994-02-28,37133.546,9666.015000000001,44662.697,11071.756,102534.014,16655.490999999998,13787.078000000001,5299.007
1994-03-31,35636.505999999994,7891.403,45421.868,11115.283000000001,100065.06,18333.896,11350.285,7533.874
1994-04-30,28552.146999999997,8512.786,46306.925,11167.723000000002,94539.581,17614.235999999997,13140.933,6334.586
1994-05-31,28866.107000000007,7770.012,45090.619999999995,10869.037,92595.776,19195.063000000002,11578.76,5647.6990000000005
1994-06-30,30359.152,7108.467000000001,44527.021,10884.227,92878.867,19854.678000000004,11222.528999999999,5497.443
1994-07-31,29203.816000000003,7124.6449999999995,47434.753,7403.176,91166.39000000001,16783.536,12701.696,4747.241
1994-08-31,27489.511000000002,7907.835999999999,45038.07199999999,9529.821000000002,89965.23999999999,17486.153000000002,13070.226999999999,5105.63
1994-09-30,29849.148999999994,7183.342,44746.936,9563.651000000002,91343.078,16168.117,14365.428,5151.063
1994-10-31,31160.252,7318.718,44428.737,9386.827,92294.534,13060.296999999999,16043.059,4570.238
1994-11-30,32796.880000000005,6841.075000000001,43733.577000000005,10040.329,93411.861,16237.847,16690.958,5435.200999999999
1994-12-31,38631.763999999996,7248.873,42706.528000000006,9560.183000000003,98147.34800000001,16261.58,16044.893,6843.965000000001
1995-01-31,38024.21599999999,6792.842,42768.699,9589.532,97175.28899999999,16620.698,18582.478,6020.807
1995-02-28,37673.009,6966.337,43214.299,9375.273,97228.91799999999,19762.300999999996,17369.537,5617.153
1995-03-31,36649.503000000004,7561.224999999999,41063.557,8596.337,93870.622,17634.577999999998,19765.799,5051.749
1995-04-30,39751.567,7840.866999999999,42273.403,8076.588,97942.425,17068.723,21248.336,6611.984
1995-05-31,43465.87099999999,7003.741,42006.619999999995,8145.0869999999995,100621.31899999999,17484.001,21176.836,6870.003000000001
1995-06-30,46026.018000000004,7470.242000000001,40821.015,7028.463,101345.738,18417.480999999996,19277.472999999998,5451.982
1995-07-31,43021.962,8080.939,41422.668000000005,7622.576000000001,100148.145,17010.569,20791.585,6507.906999999999
1995-08-31,48619.748,7849.079999999999,35716.78,7295.929000000001,99481.53700000001,14178.478,19682.259,6688.558000000001
1995-09-30,43576.693,9915.057,35812.845,7640.821,96945.416,15553.978000000001,19174.667999999998,6636.742
1995-10-31,44904.873999999996,7010.107,34319.817,8158.212,94393.01000000001,14622.797999999999,19261.679,6083.311
1995-11-30,47404.93999999999,6515.628000000001,33788.738,8400.481,96109.78699999998,14471.707,20576.379,5726.732000000001
1995-12-31,48914.657,7536.656999999999,33170.386,8349.122,97970.822,15588.144999999999,17814.112999999998,6275.5960000000005
1996-01-31,47970.433000000005,7580.694,33139.118,8097.718,96787.963,14433.744000000002,18170.559999999998,5694.531
1996-02-29,49481.81099999999,8789.357,32907.626000000004,7859.2570000000005,99038.05099999999,14020.559000000001,19976.462,6059.251
1996-03-31,52512.799999999996,7588.834,33137.752,7345.396999999999,100584.783,13728.796,19883.154,5965.924999999999
1996-04-30,50585.064,6442.307000000001,34134.833,7322.644,98484.848,12677.186,21103.653000000002,6539.359999999999
1996-05-31,46636.409,6150.818,34869.903,8084.357,95741.48700000001,12948.176000000001,19580.891,6144.143
1996-06-30,43671.178,6380.963,35431.479999999996,8380.13,93863.751,12617.784000000001,17298.283000000003,6095.35
1996-07-31,44972.798,7239.258000000001,35811.41,7985.199999999999,96008.66600000001,15092.414,18510.527,7094.172
1996-08-31,50414.954,6822.338,35312.805,8536.786,101086.883,13412.496,20869.34,8110.1900000000005
1996-09-30,51892.615,6088.8910000000005,35231.373999999996,9338.955999999998,102551.83600000001,14594.960000000003,23115.581,7531.973999999998
1996-10-31,50299.55799999999,6935.66,33793.815,9274.554,100303.587,11574.895999999999,21354.877,8400.291
1996-11-30,49484.39199999999,6488.8240000000005,34641.042,9680.222,100294.48,11029.617,19056.515,8298.446
1996-12-31,54612.223,7353.027,34149.135,10056.954999999998,106171.34000000001,14340.683,17404.211,6908.388999999999
1997-01-31,51684.53000000001,6750.811,35145.27,9854.92,103435.531,12413.765,17842.672,8365.472
1997-02-28,48632.981999999996,6275.146,35151.891,9638.491,99698.51,13384.981,17621.522,8403.233
1997-03-31,51747.227,6879.0560000000005,36756.629,9801.139,105184.05099999999,17245.663,19173.547,9555.726
1997-04-30,50160.128,6355.065,37329.935000000005,9260.485,103105.613,18078.027,20111.17,9396.072
1997-05-31,44171.265999999996,7502.2029999999995,37210.555,8649.610999999999,97533.63500000001,15780.356,18301.188,9127.983
1997-06-30,45236.458,7140.591999999999,37892.305,8784.537,99053.89199999999,19198.688,18422.474,8787.423
1997-07-31,47989.33299999999,6437.642,30183.066999999995,8551.265000000001,93161.30699999999,14582.041,19487.375999999997,8704.853
1997-08-31,43003.197,6614.939,31677.664,8830.518,90126.318,15210.097999999998,19396.09,9081.07
1997-09-30,47938.774999999994,5368.341,31360.22,8876.130000000001,93543.466,16103.261999999999,17216.581,9823.046
1997-10-31,42452.693,8030.681,32678.896,8800.266000000001,91962.536,14097.996000000001,19835.038,9104.7
1997-11-30,43936.962999999996,5959.7880000000005,33423.346000000005,9366.578000000001,92686.67500000002,15896.110999999999,19214.693,9640.881000000001
1997-12-31,50165.177,6502.833,32989.79,9856.824,99514.62400000001,15585.813,21486.672,8971.414999999999
1998-01-31,48218.717,7265.038,31913.057999999997,9276.732,96673.545,17190.932999999997,21297.781000000003,7581.213
1998-02-28,47850.923,6209.509,33315.873999999996,11369.998,98746.304,15983.987000000001,22054.481,7709.243999999999
1998-03-31,48996.13,6444.054999999999,32098.197999999997,11396.535,98934.918,17882.969,19174.111,8062.249000000001
1998-04-30,44163.46599999999,7152.086,32979.695,11665.916000000003,95961.163,18238.971,19186.542,8121.7919999999995
1998-05-31,42203.38199999999,6781.747,33225.886,11937.395999999999,94148.41099999998,21068.005,20443.558,7670.678000000001
1998-06-30,42983.87000000001,7031.054,31307.335,12279.947999999999,93602.20700000002,18849.821000000004,20701.987,6537.8099999999995
1998-07-31,38814.639,6807.25,30200.612,12006.965999999997,87829.467,21416.226,23091.676,6191.645
1998-08-31,41688.767,6365.515,28045.765,11704.196,87804.24299999999,19878.174,23932.377,6218.88
1998-09-30,44206.416,6324.898,26090.138,12186.669999999998,88808.12199999999,16720.939,24041.269,5756.13
1998-10-31,41094.521,6790.284000000001,26120.159,12314.35,86319.31400000001,17894.68,24271.37,5375.8009999999995
