date,currency_outside_banks_mn_sar,demand_deposits_mn_sar,m1_mn_sar,time_savings_deposits_mn_sar,m2_mn_sar,other_quasi_money_mn_sar
1993-12-31,42622.797617,78879.959,121502.756617,47892.339,169395.095617,59027.66
1994-12-31,44965.078410999995,80679.357,125644.435411,51417.12,177061.555411,59169.37
1995-12-31,43087.202999999994,81383.933,124471.136,61222.523,185693.65899999999,56075.251
1996-12-31,43037.634999999995,89890.221,132927.856,71080.751,204008.60700000002,54313.953
1997-12-31,45823.203,95360.545,141183.748,77165.538,218349.286,54199.523
1998-12-31,45019.049000000006,95253.268,140272.317,83436.098,223708.415,59547.916
1999-12-31,55060.284999999996,101604.895,156665.18,85341.415,242006.59499999997,63439.317
2000-12-31,51019.457,114480.931,165500.388,90832.006,256332.394,62656.915
2001-12-31,49203.422999999995,130192.471,179395.894,91684.591,271080.485,68902.386
2002-12-31,52329.208999999995,150009.862,202339.071,108028.195,310367.266,79841.297
2003-12-31,55444.657999999996,167577.202,223021.86,113381.881,336403.741,80703.041
2004-12-31,60133.143000000004,211170.238,271303.381,136672.88,407976.261,87691.664
2005-12-31,64288.038,219251.036,283539.074,165266.397,448805.471,104542.462
2006-12-31,69324.101,243417.691,312741.792,226026.745,538768.537,121499.516
2007-12-31,72191.67300000001,311365.062,383556.735,283059.125,666615.86,123139.628
2008-12-31,83006.39199999999,342487.682,425494.07399999996,367623.877,793117.9509999999,136006.62
2009-12-31,88395.351,433162.212,521557.56299999997,323377.029,844934.592,184009.189
2010-12-31,95519.84768499,530072.227,625592.07468499,298282.546,923874.62068499,156495.171
2011-12-31,119901.52640616,642093.67,761995.19640616,316400.646,1078395.84240616,161149.603
2012-12-31,133120.72828841,756555.345,889676.07328841,329679.868,1219355.94128841,188717.559
2013-12-31,143140.03717765,860270.196,1003410.23317765,350266.485,1353676.7181776501,207393.726
2014-12-31,153750.14311176,991384.41,1145134.55311176,403419.45,1548554.00311176,193335.18
2015-12-31,168491.79047888,980150.664,1148642.45447888,439377.329,1588019.7834788798,197562.28
2016-12-31,170323.06883444,976086.1988083251,1146409.267642765,496019.30788064003,1642428.575523405,157279.10857184482
2017-12-31,172046.35069519997,1002467.74800831,1174514.09870351,454152.05919544,1628666.15789895,176505.21473533998
2018-12-31,180132.44599683,1040664.95184748,1220797.39784431,443022.41314937995,1663819.8109936898,189825.56086021
2019-12-31,189160.26772414,1099151.08319698,1288311.35092112,501666.91848965,1789978.26941077,195161.18214797
2020-12-31,206283.560385,1282591.31982632,1488874.88021132,473966.98055585,1962841.86076717,186425.206063303
2021-12-31,204366.04192211002,1360108.1662613498,1564474.20818346,495334.36669822,2059808.5748816798,249011.38056003003
2022-12-31,199965.70505283002,1328160.3574,1528126.0624528301,654764.2713499999,2182890.33380283,312481.6821240001
2023-12-31,211884.8803785,1312330.2918346801,1524215.1722131802,864069.4239041801,2388284.5961173605,297058.62959233
2024-12-31,229088.19631035,1440640.6123717302,1669728.8086820801,949707.90734594,2619436.7160280203,302035.60330071003
2025-12-31,241965.75771247002,1432320.08099126,1674285.8387037301,1173836.6563675266,2848122.4950712565,319655.4768074151
1993-01-31,43987.38,83672.56700000001,127659.94700000001,46181.365999999995,173841.31300000002,54422.607
1993-02-28,45338.575999999994,84624.138,129962.714,46108.899000000005,176071.613,60263.115000000005
1993-03-31,46572.6255,85427.936,132000.5615,45748.717000000004,177749.27850000001,55651.947
1993-04-30,46594.138533,85704.078,132298.216533,45984.425,178282.641533,56290.971999999994
1993-05-31,48942.1277,85989.786,134931.91369999998,46212.882,181144.79569999996,54955.454999999994
1993-06-30,47880.194353,89345.831,137226.025353,46155.635,183381.660353,57828.003
1993-07-31,46549.9284,89945.723,136495.6514,46245.888999999996,182741.5404,57098.469
1993-08-31,44488.262395,89289.138,133777.400395,46625.812000000005,180403.212395,61287.742999999995
1993-09-30,43311.305902,88202.388,131513.693902,45713.529,177227.222902,60344.594
1993-10-31,43407.870706,83343.125,126750.995706,46608.568,173359.563706,61833.365
1993-11-30,42836.33823,81473.832,124310.17022999999,46633.355,170943.52523,61860.409999999996
1993-12-31,42622.797617,78879.959,121502.756617,47892.33899999999,169395.095617,59027.659999999996
1994-01-31,42558.307467,81221.733,123780.04046699998,47767.719000000005,171547.759467,59392.55300000001
1994-02-28,46303.364,84268.491,130571.855,46748.75,177320.60499999998,57227.282999999996
1994-03-31,44789.630069,80386.28600000001,125175.916069,48772.721999999994,173948.63806899998,57715.399
1994-04-30,44568.78838299999,80762.179,125330.967383,47971.187999999995,173302.15538299998,56383.82399999999
1994-05-31,45229.799189,82660.827,127890.626189,48219.808999999994,176110.43518899998,57859.812000000005
1994-06-30,44923.696395,82602.91900000001,127526.615395,48248.854999999996,175775.470395,57765.03300000001
1994-07-31,44449.077086,83741.227,128190.30408599999,47046.933999999994,175237.23808599997,57288.35500000001
1994-08-31,43086.088016,83244.798,126330.886016,47025.922999999995,173356.809016,58119.119999999995
1994-09-30,42144.679086000004,83187.147,125331.826086,48357.727,173689.553086,58549.21799999999
1994-10-31,43746.897000000004,82731.442,126478.339,49518.496,175996.83500000002,59751.905
1994-11-30,44713.314000000006,81423.201,126136.51500000001,49991.246,176127.761,58109.97
1994-12-31,44965.078410999995,80679.357,125644.435411,51417.119999999995,177061.55541099998,59169.369999999995
1995-01-31,45125.308000000005,79211.39700000001,124336.70500000002,51578.78,175915.48500000002,58942.937999999995
1995-02-28,48007.724,79768.541,127776.265,53809.462,181585.727,58233.449
1995-03-31,46446.280507,82448.977,128895.257507,54625.361999999994,183520.619507,58428.14599999999
1995-04-30,48125.951699,82464.792,130590.743699,54394.064,184984.807699,59791.94200000001
1995-05-31,47069.917454,83724.515,130794.432454,56178.094,186972.52645399998,57814.83
1995-06-30,46875.73062,84180.731,131056.46162,56152.393000000004,187208.85462,58201.33499999999
1995-07-31,45312.5635,82131.866,127444.4295,56693.034,184137.4635,56832.888999999996
1995-08-31,43123.407998999995,78445.43800000001,121568.84599900001,57233.003000000004,178801.848999,57262.005
1995-09-30,42715.833,81546.418,124262.251,58436.185,182698.436,57466.812000000005
1995-10-31,42614.90200000001,81136.67000000001,123751.57200000001,58310.67,182062.24200000003,56690.718
1995-11-30,42776.98300000001,81907.78899999999,124684.772,59259.199,183943.971,55191.01299999999
1995-12-31,43087.202999999994,81383.933,124471.136,61222.523,185693.65899999999,56075.251000000004
1996-01-31,44237.456000000006,81999.225,126236.68100000001,60514.753,186751.434,56516.91100000001
1996-02-29,45178.7624,82933.791,128112.5534,60209.38,188321.9334,56725.46800000001
1996-03-31,45008.198,83226.502,128234.69999999998,61755.078,189989.778,56612.007
1996-04-30,47466.512619,85496.598,132963.11061899998,63254.693,196217.80361899998,55077.231
1996-05-31,45124.90358,87969.22899999999,133094.13257999998,61804.605,194898.73758,54510.36600000001
1996-06-30,44985.365999999995,88015.869,133001.235,61296.042,194297.277,56685.293999999994
1996-07-31,43423.448133,86829.758,130253.206133,62946.971000000005,193200.177133,54557.91799999999
1996-08-31,42290.983307999995,86392.423,128683.40630799999,65826.946,194510.35230799997,55280.857
1996-09-30,41348.81289539999,86951.38500000001,128300.1978954,66048.799,194348.9968954,55365.236000000004
1996-10-31,41218.723934,86568.444,127787.167934,66950.689,194737.85693399998,54420.65
1996-11-30,41510.009702,87305.25200000001,128815.26170200002,68085.143,196900.40470200003,55663.972
1996-12-31,43037.634999999995,89890.22099999999,132927.85599999997,71080.751,204008.60699999996,54313.952999999994
1997-01-31,47134.961,94768.131,141903.092,69427.555,211330.647,52937.738
1997-02-28,43763.224,93238.03600000001,137001.26,69563.339,206564.59900000002,53336.801999999996
1997-03-31,45475.57,96658.58200000001,142134.152,70956.802,213090.954,54995.82099999999
1997-04-30,44985.905000000006,97167.546,142153.451,69596.496,211749.947,53180.383
1997-05-31,46261.003,97936.472,144197.47499999998,69438.634,213636.109,55015.379
1997-06-30,47367.604,97130.391,144497.995,69364.539,213862.53399999999,55827.952000000005
1997-07-31,45957.467,96936.798,142894.26499999998,70233.943,213128.20799999998,52779.63500000001
1997-08-31,44914.573000000004,95290.923,140205.49599999998,71749.734,211955.22999999998,53481.906
1997-09-30,44565.843,94200.418,138766.261,72463.189,211229.45,55039.788
1997-10-31,44614.335999999996,94514.682,139129.01799999998,72883.008,212012.02599999998,52943.066000000006
1997-11-30,44601.199,94900.734,139501.933,74581.07800000001,214083.011,54292.444
1997-12-31,45823.203,95360.545,141183.748,77165.538,218349.286,54199.523
1998-01-31,48820.498,97699.417,146519.915,77508.351,224028.266,52902.75399999999
1998-02-28,47410.449,96953.608,144364.057,77881.994,222246.051,53093.21599999999
1998-03-31,48884.796,98017.262,146902.05800000002,78781.845,225683.90300000002,51329.350000000006
1998-04-30,47786.789000000004,100095.93599999999,147882.72499999998,78112.831,225995.55599999998,52094.202999999994
1998-05-31,47171.73900000001,99807.486,146979.225,78059.301,225038.526,50425.164
1998-06-30,47004.653999999995,101012.645,148017.299,80143.23199999999,228160.531,52004.757
1998-07-31,45132.318,98070.62599999999,143202.944,78664.425,221867.369,51588.147000000004
1998-08-31,43802.335999999996,97122.27900000001,140924.615,78696.13,219620.745,51866.20599999999
1998-09-30,43210.206,94923.431,138133.637,79211.595,217345.232,56969.816999999995
1998-10-31,43092.838,94516.26999999999,137609.108,79203.072,216812.18,56862.689
1998-11-30,43220.643,94805.79199999999,138026.435,79919.94099999999,217946.376,57270.521
1998-12-31,45019.049000000006,95253.268,140272.317,83436.098,223708.415,59547.916
1999-01-31,45299.178,97596.15299999999,142895.331,81515.4,224410.731,58718.939
1999-02-28,45347.10600000001,99206.59000000001,144553.69600000003,81825.216,226378.912,58380.498999999996
1999-03-31,47242.843,99834.60399999999,147077.447,83629.246,230706.69299999997,56625.381
1999-04-30,45368.091,101837.768,147205.859,83128.313,230334.172,57446.820999999996
1999-05-31,45262.076,100983.29000000001,146245.366,82390.60399999999,228635.97,56915.583
1999-06-30,44443.769,101621.68000000001,146065.44900000002,81892.30799999999,227957.757,56573.077000000005
1999-07-31,42989.604999999996,102703.491,145693.096,80680.984,226374.08,56420.231
1999-08-31,42099.166000000005,102421.029,144520.195,82478.818,226999.013,56772.662000000004
1999-09-30,41746.691,101569.875,143316.566,82624.614,225941.18,57270.64600000001
1999-10-31,43321.159,101894.041,145215.2,82272.848,227488.048,60861.544
1999-11-30,43782.635,104285.02500000001,148067.66,82556.665,230624.325,60608.58699999999
1999-12-31,55060.284999999996,101604.895,156665.18,85341.41500000001,242006.595,63439.316999999995
2000-01-31,47642.835,109617.144,157259.979,85371.64499999999,242631.62399999998,57752.55
2000-02-29,47924.169,107490.441,155414.61000000002,84791.198,240205.80800000002,59226.869999999995
2000-03-31,47690.352000000006,112228.023,159918.375,84492.34,244410.715,59505.585
2000-04-30,47281.484000000004,114389.815,161671.299,85628.723,247300.022,57893.40400000001
2000-05-31,49421.842,113069.503,162491.345,86401.953,248893.298,60377.507999999994
2000-06-30,48298.585,114385.693,162684.278,87736.572,250420.84999999998,60123.395000000004
2000-07-31,46871.854999999996,112910.718,159782.57299999997,87722.681,247505.25399999996,59570.96200000001
2000-08-31,46081.112,112233.808,158314.92,87623.711,245938.631,60442.935000000005
2000-09-30,46125.869000000006,112622.136,158748.005,87691.955,246439.96000000002,62002.25399999999
2000-10-31,46439.776,111398.77,157838.546,86427.344,244265.89,61936.19899999999
2000-11-30,47311.512,110999.117,158310.62900000002,88314.62299999999,246625.252,63212.831999999995
2000-12-31,51019.457,114480.931,165500.388,90832.006,256332.394,62656.914999999986
2001-01-31,49089.376,117255.36300000001,166344.739,90803.18,257147.919,62806.349
2001-02-28,51752.246999999996,118673.21699999999,170425.46399999998,91391.728,261817.19199999998,62411.903000000006
2001-03-31,50095.584,122472.026,172567.61,92627.342,265194.952,60280.428
2001-04-30,50054.257999999994,125244.833,175299.091,88403.987,263703.078,62491.339
