date,repo_rate,reverse_repo_rate,saibor_3m,sama_bills_1w,sama_bills_4w,sama_bills_13w
2007-12-31,5.5,4.0,4.905105,4.75119166666667,4.76651666666667,4.80735833333333
2008-12-31,2.5,1.5,3.28457917336521,2.51954329166667,2.95556291666667,3.18836666666667
2009-12-31,2.0,0.25,0.911300286087369,0.2233875,0.286664722222222,0.461928472222222
2010-12-31,2.0,0.25,0.735862703846154,0.136204166666667,0.191825,0.382495833333333
2011-12-31,2.0,0.25,0.694466619183286,0.121291666666667,0.188066666666667,0.332176666666667
2012-12-31,2.0,0.25,0.91631625,0.116965,0.212303333333333,0.385695
2013-12-31,2.0,0.25,0.953235796901451,0.1143925,0.2810525,0.489888541666667
2014-12-31,2.0,0.25,0.935765467171717,0.121350833333333,0.320385,0.5105235
2015-12-31,2.0,0.5,0.879691666666667,0.1431875,0.309040833333333,0.466660833333333
2016-12-31,2.0,0.75,2.06617265065053,0.474028333333333,0.963574166666667,1.1213075
2017-12-31,2.0,1.5,1.81166836013473,0.798477,0.927491819444444,1.14688508333333
2018-12-31,3.0,2.5,2.45098221187026,1.85566916666667,1.924275,2.07430083333333
2019-12-31,2.25,1.75,2.63184506109621,2.2844375,2.31964166666667,2.37890916666667
2020-12-31,1.0,0.5,1.1922916801841124,0.7597116666666668,0.8306683333333333,0.8811616666666667
2021-12-31,1.0,0.5,0.8099914578691756,0.5103516666666666,0.5556850000000001,0.5907366666666666
2022-12-31,5.0,4.5,3.1254128924010476,2.0297633333333334,2.1065733333333334,2.3396508333333332
2023-12-31,6.0,5.5,5.930440041988725,5.215694166666665,5.252180833333333,5.376541666666667
2024-12-31,5.0,4.5,6.019712269887564,5.349776666666666,5.3579083333333335,5.362514999999999
2025-12-31,4.25,3.75,5.305789713325654,4.478233333333334,4.494766666666667,4.5128416666666675
2007-01-31,5.5,4.7,4.96813,4.6463,4.7162,4.8062
2007-02-28,5.5,5.0,5.24125,4.8655,4.937,5.014
2007-03-31,5.5,5.0,5.05125,4.8875,4.9118,4.9712
2007-04-30,5.5,5.0,5.05063,4.8272,4.8553,4.9071
2007-05-31,5.5,5.0,5.045,4.8432,4.857,4.9016
2007-06-30,5.5,5.0,5.03875,4.8447,4.8575,4.904
2007-07-31,5.5,5.0,5.03,4.851,4.8606,4.8925
2007-08-31,5.5,5.0,5.03375,4.8611,4.8558,4.885
2007-09-30,5.5,5.0,5.09,4.9215,4.9187,4.9442
2007-10-31,5.5,5.0,4.9975,4.836,4.8924,4.904
2007-11-30,5.5,4.25,4.28,4.6133,4.5114,4.5235
2007-12-31,5.5,4.0,4.035,4.017,4.0245,4.035
2008-01-31,5.5,3.0,2.99609375,3.37346,3.73031,3.71375
2008-02-29,5.5,3.0,2.99609375,2.85208,2.85563,2.85063
2008-03-31,5.5,2.25,2.26,2.2675,2.29375,2.61313
2008-04-30,5.5,2.25,1.94684981684982,2.10887,2.13094,2.14875
2008-05-31,5.5,2.0,2.33451923076923,1.94698,2.05094,2.1575
